cell_id,latitude,longitude,elevation,slope,aspect,curvature,land_cover,soil_clay_0_5cm,soil_sand_0_5cm,soil_silt_0_5cm,soil_bulk_density_0_5cm,susceptibility_prob,risk_tier,needs_refinement,rainfall_24h,rainfall_72h,rainfall_7d,rainfall_trigger_index,susceptibility_score,risk_score,risk_category,risk_mode,rainfall_status
COARSE_C00024,27.18,88.60300000000011,777.0,30.694334030151367,140.01593017578125,0.3693766593933105,10,273,365,362,117,0.6235,High,True,15.75,20.25,42.75,0.2261,0.6235,0.4078,Moderate,dynamic_composite,available
COARSE_C00025,27.18,88.60400000000011,802.0,17.802814483642578,177.5685577392578,0.6862918734550476,10,277,368,355,117,0.4885,Moderate,False,15.75,20.25,42.75,0.2261,0.4885,0.3342,Low,dynamic_composite,available
COARSE_C00026,27.18,88.60500000000012,764.0,27.28665351867676,282.27276611328125,-0.2903688251972198,10,277,368,355,117,0.6105,High,False,15.75,20.25,42.75,0.2261,0.6105,0.4007,Moderate,dynamic_composite,available
COARSE_C00027,27.18,88.60600000000012,713.0,30.022260665893555,266.3736267089844,0.422216922044754,10,277,368,355,117,0.6617,High,True,15.75,20.25,42.75,0.2261,0.6617,0.4286,Moderate,dynamic_composite,available
COARSE_C00028,27.18,88.60700000000013,677.0,22.80043601989746,246.6656951904297,0.7652997374534607,10,277,368,355,117,0.6113,High,False,15.75,20.25,42.75,0.2261,0.6113,0.4011,Moderate,dynamic_composite,available
COARSE_C00029,27.18,88.60800000000013,610.0,35.28602600097656,232.1175842285156,-0.8708539605140686,10,289,374,337,118,0.7056,Very High,True,15.75,20.25,42.75,0.2261,0.7056,0.4525,Moderate,dynamic_composite,available
COARSE_C00030,27.18,88.60900000000014,572.0,28.837358474731445,213.54376220703125,-1.5834397077560425,10,289,374,337,118,0.6607,High,False,15.75,20.25,42.75,0.2261,0.6607,0.4281,Moderate,dynamic_composite,available
COARSE_C00031,27.18,88.61000000000014,552.0,27.684776306152344,205.0933380126953,-0.0528402440249919,10,289,374,337,118,0.6666,High,False,15.75,20.25,42.75,0.2261,0.6666,0.4313,Moderate,dynamic_composite,available
COARSE_C00032,27.18,88.61100000000015,554.0,25.30732536315918,154.39556884765625,-0.0528402440249919,10,290,371,340,118,0.6412,High,False,15.75,20.25,42.75,0.2261,0.6412,0.4174,Moderate,dynamic_composite,available
COARSE_C00033,27.18,88.61200000000015,579.0,34.87527847290039,140.80255126953125,-0.237654834985733,10,290,371,340,118,0.7107,Very High,True,15.75,20.25,42.75,0.2261,0.7107,0.4553,Moderate,dynamic_composite,available
COARSE_C00034,27.18,88.61300000000016,586.0,32.76839828491211,201.95677185058597,0.1846883296966552,10,290,370,340,118,0.7004,Very High,True,15.75,20.25,42.75,0.2261,0.7004,0.4497,Moderate,dynamic_composite,available
COARSE_C00035,27.18,88.61400000000016,566.0,40.60588455200195,191.3025360107422,-0.4750571548938751,10,290,370,340,118,0.7651,Very High,True,15.75,20.25,42.75,0.2261,0.7651,0.485,Moderate,dynamic_composite,available
COARSE_C00036,27.18,88.61500000000017,577.0,36.28907012939453,163.10227966308594,-0.5541912913322449,10,281,376,343,118,0.7189,Very High,True,15.75,20.25,42.75,0.2261,0.7189,0.4598,Moderate,dynamic_composite,available
COARSE_C00037,27.18,88.61600000000017,601.0,21.570770263671875,167.3941650390625,-1.6889939308166504,10,281,376,343,118,0.569,High,False,15.75,20.25,42.75,0.2261,0.569,0.3781,Moderate,dynamic_composite,available
COARSE_C00038,27.18,88.61700000000017,609.0,24.83128547668457,193.0448303222656,0.1585207283496856,10,282,375,343,117,0.6439,High,False,15.75,20.25,42.75,0.2261,0.6439,0.4189,Moderate,dynamic_composite,available
COARSE_C00039,27.18,88.61800000000018,581.0,29.049240112304688,198.0999298095703,-0.8708539605140686,10,282,375,343,117,0.6892,High,False,15.75,20.25,42.75,0.2261,0.6892,0.4436,Moderate,dynamic_composite,available
COARSE_C00040,27.18,88.61900000000018,570.0,27.48262023925781,192.6058349609375,-0.2639487087726593,10,282,375,343,117,0.683,High,False,15.75,20.25,42.75,0.2261,0.683,0.4402,Moderate,dynamic_composite,available
COARSE_C00041,27.18,88.62000000000019,571.0,34.59419631958008,174.3321990966797,0.5806114077568054,10,292,374,335,117,0.7437,Very High,True,15.75,20.25,42.75,0.2261,0.7437,0.4733,Moderate,dynamic_composite,available
COARSE_C00042,27.18,88.6210000000002,548.0,22.092912673950195,223.9162139892578,-0.7124595046043396,10,292,374,335,117,0.6484,High,False,15.75,20.25,42.75,0.2261,0.6484,0.4214,Moderate,dynamic_composite,available
COARSE_C00043,27.18,88.6220000000002,519.0,19.97862243652344,236.8131103515625,-1.6889939308166504,10,292,370,338,117,0.643,High,False,15.75,20.25,42.75,0.2261,0.643,0.4184,Moderate,dynamic_composite,available
COARSE_C00044,27.18,88.6230000000002,511.0,2.7902112007141118,131.80691528320312,-0.0,60,292,370,338,117,0.95,Very High,True,15.75,20.25,42.75,0.2261,0.95,0.5858,High,dynamic_composite,available
COARSE_C00045,27.18,88.62400000000021,515.0,3.4862148761749268,48.19308853149414,0.0264201220124959,60,292,371,337,117,0.9483,Very High,True,15.75,20.25,42.75,0.2261,0.9483,0.5849,High,dynamic_composite,available
COARSE_C00046,27.18,88.62500000000021,520.0,2.7731900215148926,138.98696899414062,0.2903688251972198,60,292,371,337,117,0.9494,Very High,True,15.75,20.25,42.75,0.2261,0.9494,0.5855,High,dynamic_composite,available
COARSE_C00047,27.18,88.62600000000022,527.0,20.125328063964844,72.58895111083984,-2.0057828426361084,60,292,371,337,117,0.9711,Very High,True,15.75,20.25,42.75,0.2261,0.9711,0.5973,High,dynamic_composite,available
COARSE_C00048,27.18,88.62700000000022,582.0,35.1839714050293,82.71932983398438,-0.34295654296875,10,292,371,337,117,0.7313,Very High,True,15.75,20.25,42.75,0.2261,0.7313,0.4666,Moderate,dynamic_composite,available
