sl_no,slide_no,state,district,slide_name,nh_sh_location,latitude,longitude,material_involved,movement_type,history,soil_clay_0_5cm,soil_sand_0_5cm,soil_silt_0_5cm,soil_bulk_density_0_5cm
26259,SKM/ES/78A12/2015/110,Sikkim,East Sikkim,,Rorathang-Rongli Road,27.198856,88.638725,Debris,Slide,,294,369,336,118
26260,SKM/ES/78A12/2015/134,Sikkim,East Sikkim,,Rhenak Road,27.198928,88.66095,Debris,Slide,,260,396,344,111
26261,SKM/SS/78A08/2015/385,Sikkim,South Sikkim,,Sikkip-Wak-Namchi Road,27.199028,88.350417,Debris,Slide,,284,377,339,116
26262,SKM/ES/78A12/2015/111,Sikkim,East Sikkim,,Rorathang-Rongli Road,27.199722,88.641633,Rock,Topple,,294,371,335,117
26263,SKM/SS/78A08/2015/386,Sikkim,South Sikkim,,Sikkip-Wak-Namchi Road,27.200389,88.3545,Debris,Slide,,277,386,337,115
26264,SKM/WS/78A08/2015/384,Sikkim,West Sikkim,,Sikkip-Wak-Namchi Road,27.200861,88.340861,Debris,Slide,,275,365,359,110
26265,SKM/ES/78A12/2015/133,Sikkim,East Sikkim,,Rhenak Road,27.201278,88.665381,Debris,Slide,,271,377,351,104
26266,SKM/WS/78A08/2015/366,Sikkim,West Sikkim,,Kaluk-Rinchenpong Road,27.20175,88.268194,Debris,Slide,,265,352,383,108
26267,SKM/ES/78A12/2015/132,Sikkim,East Sikkim,,Rhenak Road,27.201875,88.667278,Debris,Slide,,272,369,359,105
26268,SKM/SS/78A08/2015/209,Sikkim,South Sikkim,,Kholaghari village Road,27.202417,88.391583,Debris,Slide,,265,366,370,102
26269,SKM/ES/78A12/2015/113,Sikkim,East Sikkim,,Rorathang-Rongli Road,27.202433,88.656708,Rock,Topple,,279,378,343,106
26270,SKM/ES/78A12/2015/34,Sikkim,East Sikkim,Pendam,,27.203167,88.588667,Debris,Slide,,273,377,350,110
26271,SKM/ES/78A12/2015/38,Sikkim,East Sikkim,Pamdambhasmey,Rangpo-Rorathang Road,27.203194,88.600278,Debris,Slide,,292,368,340,114
26272,SKM/ES/78A12/2015/114,Sikkim,East Sikkim,,Rorathang-Rongli Road,27.203869,88.658333,Debris,Slide,,273,377,350,110
26273,SKM/ES/78A12/2015/112,Sikkim,East Sikkim,,Rorathang-Rongli Road,27.204556,88.647222,Debris,Slide,,279,379,343,109
26274,SKM/WS/78A08/2015/349,Sikkim,West Sikkim,,legship-Sikkip Road,27.204694,88.32375,Debris,Slide,,275,356,369,119
26275,SKM/ES/78A12/2015/33,Sikkim,East Sikkim,East Pendam,,27.205,88.591722,Rock,Fall,,261,386,353,112
26276,SKM/SS/78A08/2015/56,Sikkim,South Sikkim,,Phong-Bermiok Road,27.205,88.442122,Debris,Slide,,276,391,333,104
26277,SKM/ES/78A12/2015/115,Sikkim,East Sikkim,,Rorathang-Rongli Road,27.205047,88.689053,Debris,Slide,,290,378,332,112
26278,SKM/SS/78A08/2015/54,Sikkim,South Sikkim,,Phong-Bermiok Road,27.206611,88.442814,Debris,Slide,,271,372,357,105
26279,SKM/ES/78A12/2015/118,Sikkim,East Sikkim,,Rorathang-Rongli Road,27.206653,88.679953,Rock,Fall,,290,375,335,107
26280,SKM/WS/78A08/2015/348,Sikkim,West Sikkim,,legship-Sikkip Road,27.206917,88.323278,Debris,Slide,,284,350,366,119
26281,SKM/SS/78A08/2015/55,Sikkim,South Sikkim,,Phong-Bermiok Road,27.207039,88.446667,Debris,Slide,,257,363,380,105
26282,SKM/ES/78A12/2015/116,Sikkim,East Sikkim,,Rorathang-Rongli Road,27.207264,88.672817,Debris,Slide,,274,376,350,107
26283,SKM/ES/78A12/2015/117,Sikkim,East Sikkim,,Rorathang-Rongli Road,27.207606,88.676047,Rock,Fall,,282,372,346,107
26284,SKM/SS/78A08/2015/208,Sikkim,South Sikkim,,Kholaghari village Road,27.20825,88.387667,Earth,Slide,,275,359,366,102
26285,SKM/ES/78A12/2015/35,Sikkim,East Sikkim,,Rangpo-Rorathang Road,27.2115,88.58775,Debris,Slide,,265,386,349,102
26286,SKM/ES/78A12/2015/36,Sikkim,East Sikkim,,Rangpo-Rorathang Road,27.212222,88.587889,Debris,Slide,,265,386,349,102
26287,SKM/SS/78A08/2015/196,Sikkim,South Sikkim,,Namchi-Damthang Road,27.212583,88.399333,Debris,Slide,,305,360,335,103
26288,SKM/SS/78A08/2015/202,Sikkim,South Sikkim,,Kholaghari village Road,27.21275,88.391444,Debris,Slide,,312,349,339,103
26289,SKM/WS/78A08/2015/347,Sikkim,West Sikkim,,legship-Sikkip Road,27.213556,88.321833,Debris,Slide,,281,346,374,119
26290,SKM/ES/78A11/2015/13,Sikkim,East Sikkim,,,27.214222,88.608361,Debris,Slide,,262,350,389,115
26291,SKM/SS/78A08/2015/203,Sikkim,South Sikkim,,Kholaghari village Road,27.214639,88.392417,Debris,Slide,,312,349,339,103
26292,SKM/ES/78A12/2015/37,Sikkim,East Sikkim,,Rangpo-Rorathang Road,27.214806,88.588083,Debris,Slide,,276,375,349,104
26293,SKM/SS/78A08/2015/205,Sikkim,South Sikkim,,Kholaghari village Road,27.215056,88.393306,Debris,Slide,,283,384,333,102
26294,SKM/SS/78A08/2015/195,Sikkim,South Sikkim,,Namchi-Damthang Road,27.21525,88.402278,Debris,Slide,,293,369,338,102
26295,SKM/NS/78A03/2017/85,Sikkim,West Sikkim,,SH,27.216361,88.199667,Debris,Slide,,258,446,296,104
26296,SKM/SS/78A08/2015/204,Sikkim,South Sikkim,,Kholaghari village Road,27.216639,88.392361,Rock,Slide,,297,366,337,104
26297,SKM/WS/78A08/2015/367,Sikkim,West Sikkim,,Kaluk-Rinchenpong Road,27.216722,88.274639,Debris,Slide,,246,363,391,110
26298,SKM/NS/78A04/2017/93,Sikkim,West Sikkim,Rishithang,SH,27.217278,88.236944,Debris,Slide,,254,340,407,105
26299,SKM/NS/78A04/2017/91,Sikkim,West Sikkim,,SH,27.217667,88.233472,Debris,Slide,,243,341,416,113
26300,SKM/NS/78A04/2017/92,Sikkim,West Sikkim,,SH,27.217667,88.234639,Debris,Slide,,243,341,416,113
26301,SKM/NS/78A04/2017/90,Sikkim,West Sikkim,,SH,27.218278,88.232472,Debris,Slide,,253,330,418,114
26302,SKM/NS/78A04/2017/89,Sikkim,West Sikkim,,SH,27.21875,88.233694,Debris,Slide,,243,341,416,113
26303,SKM/SS/78A08/2015/200,Sikkim,South Sikkim,,Kholaghari village Road,27.219444,88.391111,Debris,Slide,,266,356,378,101
26304,SKM/NS/78A04/2017/88,Sikkim,West Sikkim,,SH,27.219444,88.234361,Rock,Slide,,243,341,416,113
26305,SKM/NS/78A03/2017/80,Sikkim,West Sikkim,,SH,27.2195,88.210222,Debris,Slide,,268,389,343,101
26306,SKM/WS/78A08/2015/369,Sikkim,West Sikkim,,Sangadorji-Bum Road,27.219917,88.276306,Debris,Slide,,258,380,362,108
26307,SKM/WS/78A08/2015/370,Sikkim,West Sikkim,,Sangadorji-Bum Road,27.220306,88.261861,Debris,Slide,,247,369,384,104
26308,SKM/WS/78A08/2015/373,Sikkim,West Sikkim,,Sangadorji-Bum Road,27.220472,88.281028,Debris,Slide,,258,372,370,107
26309,SKM/ES/78A12/2015/131,Sikkim,East Sikkim,,Rhenak-Kopchey Road,27.22075,88.699833,Debris,Slide,,256,380,364,100
26310,SKM/WS/78A08/2015/371,Sikkim,West Sikkim,,Sangadorji-Bum Road,27.220778,88.279917,Debris,Slide,,264,386,350,108
26311,SKM/NS/78A04/2017/87,Sikkim,West Sikkim,Rishi,SH,27.220806,88.237361,Rock,Slide,,252,341,407,114
26312,SKM/ES/78A11/2015/14,Sikkim,East Sikkim,,,27.220861,88.657111,Debris,Slide,,286,378,336,106
26313,SKM/ES/78A12/2015/27,Sikkim,East Sikkim,Mamring,,27.220889,88.652278,Debris,Slide,,284,368,348,108
26314,SKM/SS/78A08/2015/199,Sikkim,South Sikkim,,Kholaghari village Road,27.220917,88.385083,Debris,Slide,,274,365,362,103
26315,SKM/SS/78A08/2015/194,Sikkim,South Sikkim,,Namchi-Damthang Road,27.220972,88.397639,Debris,Slide,,260,394,346,99
26316,SKM/SS/78A08/2015/189,Sikkim,South Sikkim,,Temi village Road,27.221444,88.376167,Debris,Slide,,260,368,373,101
26317,SKM/SS/78A08/2015/188,Sikkim,South Sikkim,,Temi village Road,27.2215,88.370667,Debris,Slide,,288,361,351,104
26318,SKM/SS/78A08/2015/201,Sikkim,South Sikkim,,Kholaghari village Road,27.221778,88.390861,Debris,Slide,,272,372,356,104
26319,SKM/WS/78A08/2015/372,Sikkim,West Sikkim,,Sangadorji-Bum Road,27.222917,88.281972,Debris,Slide,,250,375,375,106
26320,SKM/SS/78A12/2015/147,Sikkim,South Sikkim,,NH-31A,27.223833,88.491833,Debris,Slide,,252,380,369,117
26321,SKM/SS/78A08/2015/187,Sikkim,South Sikkim,,Temi village Road,27.224778,88.372083,Debris,Slide,,278,381,340,99
26322,SKM/SS/78A08/2015/186,Sikkim,South Sikkim,,Temi village Road,27.225083,88.373333,Debris,Slide,,283,397,321,101
26323,SKM/NS/78A04/2017/86,Sikkim,West Sikkim,,SH,27.225556,88.240333,Debris,Slide,,255,352,392,102
26324,SKM/SS/78A12/2015/148,Sikkim,South Sikkim,,NH-31A,27.22575,88.49325,Rock,Slide,,264,382,355,112
26325,SKM/WS/78A08/2015/392,Sikkim,West Sikkim,,Tinktitam village Road,27.226556,88.308861,Debris,Slide,,281,364,354,119
26326,SKM/NS/78A03/2017/79,Sikkim,West Sikkim,,SH,27.2275,88.220278,Debris,Slide,,269,401,330,101
26327,SKM/NS/78A04/2017/94,Sikkim,West Sikkim,,SH,27.227528,88.219639,Debris,Slide,,269,401,330,101
26328,SKM/SS/78A12/2015/149,Sikkim,South Sikkim,,Singtam-Dikchu Road,27.228556,88.493889,Debris,Slide,,268,382,350,121
26329,SKM/SS/78A08/2015/185,Sikkim,South Sikkim,,Temi village Road,27.229417,88.378444,Debris,Slide,,252,379,369,102
26330,SKM/ES/78A12/2015/28,Sikkim,East Sikkim,Taza,,27.22975,88.619361,Earth,Slide,,271,385,344,111
26331,SKM/WS/78A08/2015/391,Sikkim,West Sikkim,,Tinktitam village Road,27.230583,88.306056,Debris,Slide,,281,372,347,120
26332,SKM/SS/78A08/2015/184,Sikkim,South Sikkim,Chemchey,Temi village Road,27.232639,88.378417,Debris,Slide,,244,372,383,101
26333,SKM/NS/78A04/2017/68,Sikkim,West Sikkim,,SH,27.233194,88.246361,Debris,Slide,,262,360,377,99
26334,SKM/ES/78A12/2015/22,Sikkim,East Sikkim,,NH-31A,27.233389,88.5015,Debris,Slide,,271,383,346,117
26335,SKM/ES/78A12/2015/120,Sikkim,East Sikkim,,Machong-Rongli Road,27.233417,88.634806,Debris,Slide,,262,387,351,107
26336,SKM/SS/78A08/2015/235,Sikkim,South Sikkim,,Tinktam-Rheyong Road,27.233667,88.348389,Debris,Slide,,289,349,362,100
26337,SKM/ES/78A12/2015/29,Sikkim,East Sikkim,,,27.235694,88.6025,Debris,Slide,,263,389,348,116
26338,SKM/ES/78A12/2015/30,Sikkim,East Sikkim,,,27.23575,88.602389,Debris,Slide,,263,389,348,116
26339,SKM/SS/78A12/2015/150,Sikkim,South Sikkim,,Singtam-Dikchu Road,27.23575,88.506472,Debris,Slide,,291,359,350,116
26340,SKM/SS/78A12/2015/151,Sikkim,South Sikkim,,Singtam-Dikchu Road,27.23575,88.507972,Debris,Slide,,291,359,350,116
26341,SKM/ES/78A12/2015/21,Sikkim,East Sikkim,,NH-31A,27.235778,88.506306,Debris,Slide,,291,359,350,116
26342,SKM/SS/78A08/2015/360,Sikkim,South Sikkim,,,27.235861,88.433167,Debris,Slide,,261,364,376,115
26343,SKM/ES/78A12/2015/121,Sikkim,East Sikkim,,Machong-Rongli Road,27.235917,88.645167,Rock,Fall,,305,352,342,110
26344,SKM/ES/78A12/2015/152,Sikkim,East Sikkim,,NH-31A,27.236361,88.50875,Debris,Slide,,291,359,350,116
26345,SKM/ES/78A12/2015/20,Sikkim,East Sikkim,,NH-31A,27.236583,88.509611,Debris,Slide,,297,358,345,119
26346,SKM/NS/78A04/2017/69,Sikkim,West Sikkim,,SH,27.236889,88.235917,Rock,Slide,,272,366,362,99
26347,SKM/ES/78A12/2015/32,Sikkim,East Sikkim,,,27.237694,88.598806,Debris,Slide,,252,376,372,112
26348,SKM/EAS/78A12/2014/002,Sikkim,East Sikkim,6 km from Martam,0.5 km before Sikkim Supreme (On NH-31A),27.23772,88.51384,Debris,Slide,26 August 2014,301,355,343,118
26349,SKM/SS/78A08/2015/236,Sikkim,South Sikkim,,Tinktam-Rheyong Road,27.237889,88.346444,Debris,Slide,,276,345,379,100
26350,SKM/WS/78A08/2015/390,Sikkim,West Sikkim,,Tinktitam village Road,27.237917,88.30475,Rock,Slide,,276,378,346,111
26351,SKM/ES/78A12/2015/31,Sikkim,East Sikkim,Dikling,,27.238111,88.601528,Debris,Slide,,258,374,368,108
26352,SKM/EAS/78A08/2014/003,Sikkim,East Sikkim,Sirwani Landslide,Sirwani (On Singtam-Mangkha road ),27.23924,88.48416,Debris,Slide,"2011, 25 August 2014",259,384,357,118
26353,SKM/WS/78A08/2015/387,Sikkim,West Sikkim,,Tinktitam village Road,27.239972,88.332778,Debris,Slide,,253,369,378,102
26354,SKM/ES/78A08/2015/49,Sikkim,East Sikkim,,Singtam-Dikchu Road,27.240028,88.486472,Debris,Slide,,263,382,355,115
26355,SKM/ES/78A08/2015/50,Sikkim,East Sikkim,,Singtam-Dikchu Road,27.240194,88.486278,Debris,Slide,,263,382,355,115
26356,SKM/NS/78A04/2017/71,Sikkim,West Sikkim,Upper Bermiok,SH,27.240389,88.234028,Debris,Slide,,266,373,361,99
26357,SKM/ES/78A08/2015/52,Sikkim,East Sikkim,,,27.240556,88.48025,Debris,Slide,,298,363,340,116
26358,SKM/WS/78A08/2015/389,Sikkim,West Sikkim,,Tinktitam village Road,27.240639,88.306056,Debris,Slide,,274,382,345,106
26359,SKM/ES/78A08/2015/51,Sikkim,East Sikkim,,Singtam-Dikchu Road,27.240861,88.486278,Debris,Slide,,263,382,355,115
26360,SKM/NS/78A04/2017/70,Sikkim,West Sikkim,,SH,27.241333,88.233972,Debris,Slide,,266,373,361,99
26361,SK/ED/78A12/2017/01,Sikkim,East Sikkim,Pachey landslide near Pakyong Town,Pakyong-Machong Road near Pakyong,27.24144,88.60681,Debris,Fall and Slide,9 July 2017,263,367,370,112
26362,SKM/WS/78A08/2015/388,Sikkim,West Sikkim,,Tinktitam village Road,27.242139,88.327389,Debris,Slide,,267,355,379,103
26363,SKM/SS/78A08/2015/237,Sikkim,South Sikkim,,Tinktam-Rheyong Road,27.242917,88.354417,Debris,Slide,,275,339,385,101
26364,SKM/WS/78A08/2015/368,Sikkim,West Sikkim,,Kaluk-Rinchenpong Road,27.243806,88.2725,Debris,Slide,,283,336,381,101
26365,SKM/SS/78A08/2015/239,Sikkim,South Sikkim,,Tinktam-Rheyong Road,27.244056,88.348056,Debris,Slide,,273,344,383,101
26366,SKM/SS/78A08/2015/238,Sikkim,South Sikkim,,Tinktam-Rheyong Road,27.244472,88.350472,Rock,Fall,,274,346,380,101
26367,SKM/ES/78A12/2015/153,Sikkim,East Sikkim,,NH-31A,27.245028,88.524389,Debris,Slide,,288,376,337,111
26368,SKM/NS/78A04/2017/72,Sikkim,West Sikkim,Upper Bermiok,SH,27.245028,88.226861,Debris,Slide,,253,380,367,102
26369,SKM/ES/78A12/2015/19,Sikkim,East Sikkim,Sangkhola,NH-31A,27.245139,88.524444,Debris,Slide,,288,376,337,111
26370,SKM/NS/78A04/2017/45,Sikkim,West Sikkim,Hee gown,SH,27.245972,88.185278,Debris,Slide,,282,371,347,99
26371,SKM/ES/78A11/2015/16,Sikkim,East Sikkim,,,27.246056,88.62575,Rock,Slide,,279,371,350,103
26372,SKM/ES/78A12/2015/119,Sikkim,East Sikkim,,Machong-Rongli Road,27.246194,88.625694,Rock,Fall,,281,335,384,100
26373,SKM/NS/78A04/2017/44,Sikkim,West Sikkim,,SH,27.246944,88.184833,Debris,Slide,,266,368,366,100
26374,SKM/NS/78A04/2017/73,Sikkim,West Sikkim,Budha Bari,SH,27.247111,88.225222,Debris,Slide,,275,352,373,100
26375,SKM/NS/78A04/2017/01,Sikkim,West Sikkim,Upper Bega,SH,27.248583,88.117444,Debris,Slide,,290,333,378,101
26376,SKM/NS/78A04/2017/02,Sikkim,West Sikkim,Upper Bega,SH,27.248833,88.117194,Debris,Slide,,290,333,378,101
26377,SKM/WS/78A07/2015/346,Sikkim,West Sikkim,,Legship-Rishi Road,27.25,88.301889,Debris,Slide,,286,363,351,118
26378,SKM/ES/78A11/2015/154,Sikkim,East Sikkim,,NH-31A,27.250556,88.53325,Debris,Slide,,301,367,332,118
26379,SKM/ES/78A11/2015/130,Sikkim,East Sikkim,,Machong-Rongli Road,27.250889,88.715444,Debris,Slide,,249,366,385,104
26380,SKM/ES/78A11/2015/122,Sikkim,East Sikkim,,Machong-Rongli Road,27.250972,88.659833,Rock,Fall,,261,379,360,101
26381,SKM/SS/78A07/2015/190,Sikkim,South Sikkim,,Ben village Road,27.251417,88.3845,Debris,Slide,,278,410,312,99
26382,SK/ESK/78A11/2019/03,Sikkim,East Sikkim,Sang,NH10A/ GangtokSiliguri Highway,27.251639,88.531361,Rock,Slide,2019,304,372,324,113
26383,SKM/NS/78A03/2017/43,Sikkim,West Sikkim,Hee Sapong,SH,27.251722,88.182972,Debris,Slide,,264,358,378,107
26384,SKM/NS/78A03/2017/42,Sikkim,West Sikkim,Hee Pool,SH,27.252139,88.176944,Rock,Slide,,277,367,356,102
26385,SKM/WS/78A07/2015/365,Sikkim,West Sikkim,,Kaluk-Rinchenpong Road,27.252167,88.272778,Rock,Fall,,282,344,374,107
26386,SKM/ES/78A11/2015/123,Sikkim,East Sikkim,,Machong-Rongli Road,27.252667,88.694194,Debris,Slide,,274,387,339,102
26387,SKM/NS/78A15/2017/165,Sikkim,East Sikkim,,SH,27.253528,88.786111,Debris,Slide,,296,320,384,108
26388,SKM/NS/78A03/2017/67,Sikkim,West Sikkim,Martam Ralong,SH,27.253889,88.210028,Debris,Slide,,266,342,392,99
26389,SKM/WS/78A07/2015/345,Sikkim,West Sikkim,,Legship-Rishi Road,27.254222,88.3005,Debris,Slide,,290,374,337,116
26390,SKM/NS/78A03/2017/34,Sikkim,West Sikkim,Sangkhu,SH,27.254389,88.145306,Debris,Slide,,260,336,404,101
26391,SKM/ES/78A11/2015/128,Sikkim,East Sikkim,,Machong-Rongli Road,27.25475,88.711,Debris,Slide,,277,366,358,118
26392,SKM/ES/78A11/2015/155,Sikkim,East Sikkim,,NH-31A,27.254778,88.542444,Debris,Slide,,306,362,332,116
26393,SKM/SS/78A07/2015/192,Sikkim,South Sikkim,,Ben village Road,27.254917,88.390889,Debris,Slide,,280,408,312,99
26394,SKM/SS/78A07/2015/193,Sikkim,South Sikkim,,Ben village Road,27.255167,88.396944,Debris,Slide,,274,345,380,101
26395,SKM/ES/78A11/2015/17,Sikkim,East Sikkim,,NH-31A,27.255278,88.543611,Debris,Slide,,306,362,332,116
26396,SKM/SS/78A07/2015/191,Sikkim,South Sikkim,,Ben village Road,27.255389,88.388944,Debris,Slide,,280,408,312,99
26397,SKM/NS/78A03/2017/38,Sikkim,West Sikkim,Sangkhu,SH,27.255861,88.156139,Debris,Slide,,283,350,367,101
26398,SKM/ES/78A11/2015/127,Sikkim,East Sikkim,,Machong-Rongli Road,27.256,88.706167,Debris,Slide,,264,376,360,114
26399,SKM/NS/78A03/2017/40,Sikkim,West Sikkim,,SH,27.256556,88.148722,Debris,Slide,,285,345,370,102
26400,SKM/NS/78A03/2017/37,Sikkim,West Sikkim,Sangkhu,SH,27.25675,88.148611,Debris,Slide,,285,345,370,102
26401,SKM/EAS/78A11/2014/001,Sikkim,East Sikkim,Mangthang Landslide,Mangthang (On Dhajey- Mangthang road ),27.25677,88.55359,Debris,Slide,"June 2014, 16 August 2014",308,371,321,113
26402,SKM/ES/78A11/2015/15,Sikkim,East Sikkim,,,27.257083,88.65975,Debris,Slide,2014,273,412,315,102
26403,SKM/ES/78A11/2015/124,Sikkim,East Sikkim,,Machong-Rongli Road,27.257083,88.696583,Debris,Slide,,271,382,347,106
26404,SKM/ES/78A11/2015/125,Sikkim,East Sikkim,,Machong-Rongli Road,27.257139,88.697556,Debris,Slide,,271,382,347,106
26405,SKM/WS/78A07/2015/363,Sikkim,West Sikkim,,Legship-Mayong Road,27.257194,88.305444,Debris,Slide,,282,378,340,113
26406,SKM/NS/78A03/2017/39,Sikkim,West Sikkim,,SH,27.257361,88.165333,Debris,Slide,,265,378,357,103
26407,SKM/SS/78A07/2015/327,Sikkim,South Sikkim,,,27.257417,88.418889,Debris,Slide,,274,377,349,114
26408,SKM/ES/78A11/2015/156,Sikkim,East Sikkim,,NH-31A,27.257972,88.548861,Debris,Slide,,306,371,323,116
26409,SKM/ES/78A11/2015/126,Sikkim,East Sikkim,,Machong-Rongli Road,27.258222,88.704778,Debris,Slide,,261,381,358,116
26410,SKM/NS/78A03/2017/76,Sikkim,West Sikkim,,SH,27.258306,88.245306,Debris,Slide,,259,359,382,107
26411,SKM/NS/78A03/2017/78,Sikkim,West Sikkim,,SH,27.258389,88.246611,Debris,Slide,,259,358,383,108
26412,SKM/NS/78A03/2017/36,Sikkim,West Sikkim,Sangkhu,SH,27.258556,88.147028,Debris,Slide,,275,344,380,103
26413,SKM/NS/78A03/2017/74,Sikkim,West Sikkim,,SH,27.258778,88.202639,Debris,Slide,,265,348,387,110
26414,SKM/NS/78A03/2017/35,Sikkim,West Sikkim,Sangkhu,SH,27.258889,88.145611,Rock,Fall,,267,349,383,104
26415,SKM/SS/78A07/2015/328,Sikkim,South Sikkim,,,27.259306,88.423028,Debris,Slide,,298,368,333,115
26416,SKM/ES/78A11/2015/18,Sikkim,East Sikkim,,NH-31A,27.259694,88.550417,Debris,Slide,,305,370,325,117
26417,SKM/NS/78A03/2017/77,Sikkim,West Sikkim,Rat Mathe,SH,27.259722,88.248972,Debris,Slide,,260,362,378,116
26418,SKM/ES/78A11/2015/129,Sikkim,East Sikkim,,Machong-Rongli Road,27.259833,88.711722,Debris,Slide,,268,369,363,115
26419,SKM/SS/78A07/2015/289,Sikkim,South Sikkim,,Gangla village Road,27.26,88.381361,Debris,Slide,,263,357,380,100
26420,SKM/NS/78A03/2017/41,Sikkim,West Sikkim,Radhu Basti,SH,27.260167,88.171889,Debris,Slide,,252,362,386,107
26421,SKM/WS/78A07/2015/364,Sikkim,West Sikkim,,Legship-Mayong Road,27.260194,88.302417,Debris,Slide,,298,365,337,120
26422,SKM/NS/78A03/2017/75,Sikkim,West Sikkim,,SH,27.260861,88.233278,Debris,Slide,,278,338,384,105
26423,SKM/NS/78A15/2017/164,Sikkim,East Sikkim,,SH,27.2615,88.788778,Debris,Slide,,276,389,336,111
26424,SKM/WS/78A07/2015/344,Sikkim,West Sikkim,,Legship-Rishi Road,27.26175,88.2945,Debris,Slide,,301,360,339,114
26425,SKM/NS/78A03/2017/66,Sikkim,West Sikkim,,SH,27.261778,88.197194,Debris,Slide,,249,353,398,107
26426,SKM/SS/78A07/2015/329,Sikkim,South Sikkim,,,27.262056,88.4305,Debris,Slide,,305,368,327,116
26427,SKM/ES/78A11/2015/158,Sikkim,East Sikkim,,NH-31A,27.262583,88.562389,Debris,Slide,,290,364,346,118
26428,SKM/SS/78A07/2015/290,Sikkim,South Sikkim,,Gangla village Road,27.263194,88.377139,Debris,Slide,,282,335,383,102
26429,SKM/NS/78A15/2017/163,Sikkim,East Sikkim,,SH,27.263278,88.786667,Debris,Slide,,271,385,343,108
26430,SKM/ES/78A11/2015/157,Sikkim,East Sikkim,,NH-31A,27.264361,88.558389,Debris,Slide,,291,354,356,118
26431,SKM/NS/78A15/2017/160,Sikkim,East Sikkim,,SH,27.264694,88.792667,Debris,Slide,,284,400,315,109
26432,SKM/NS/78A15/2017/161,Sikkim,East Sikkim,,SH,27.26525,88.789556,Debris,Slide,,265,388,347,107
26433,SKM/NS/78A15/2017/162,Sikkim,East Sikkim,,SH,27.265389,88.788278,Debris,Slide,,281,374,345,109
26434,SKM/ES/78A11/2015/40,Sikkim,East Sikkim,Martam,,27.265944,88.534556,Rock,Fall,,262,379,360,108
26435,SKM/WS/78A07/2015/343,Sikkim,West Sikkim,,Legship-Rishi Road,27.268944,88.2875,Debris,Slide,,264,348,388,116
26436,SKM/NS/78A03/2017/19,Sikkim,West Sikkim,Liching,SH,27.269556,88.137861,Debris,Slide,,257,351,392,107
26437,SKM/NS/78A03/2017/18,Sikkim,West Sikkim,Som,SH,27.269778,88.144278,Debris,Slide,,244,358,398,108
26438,SKM/NS/78A03/2017/31,Sikkim,West Sikkim,Sapong,SH,27.269861,88.178139,Debris,Slide,,234,372,394,113
26439,SKM/NS/78A03/2017/03,Sikkim,West Sikkim,,SH,27.269917,88.077111,Debris,Slide,,239,408,352,102
26440,SKM/NS/78A03/2017/30,Sikkim,West Sikkim,Lungzick,SH,27.27,88.179944,Rock,Fall,,234,375,391,113
26441,SKM/SS/78A07/2015/330,Sikkim,South Sikkim,,Robang-Tarku Road,27.270056,88.430139,Debris,Slide,,283,370,346,118
26442,SKM/NS/78A03/2017/32,Sikkim,West Sikkim,Sapong,SH,27.270056,88.174444,Debris,Slide,,236,382,382,112
26443,SKM/NS/78A03/2017/17,Sikkim,West Sikkim,Jhum Khola,SH,27.270667,88.142056,Rock,Fall,,255,351,394,102
26444,SKM/NS/78A03/2017/33,Sikkim,West Sikkim,Lower Sapong,SH,27.27075,88.167417,Debris,Slide,,228,391,381,112
26445,SKM/SS/78A07/2015/331,Sikkim,South Sikkim,,Robang-Tarku Road,27.271583,88.430389,Debris,Slide,,283,370,346,118
26446,SKM/SS/78A07/2015/286,Sikkim,South Sikkim,,Gangla village Road,27.272056,88.394139,Debris,Slide,,249,358,393,114
26447,SKM/SS/78A07/2015/285,Sikkim,South Sikkim,,Sangmo village Road,27.273083,88.389528,Debris,Slide,,252,364,384,112
26448,SKM/WS/78A07/2015/362,Sikkim,West Sikkim,,,27.27325,88.303417,Debris,Slide,,273,334,393,104
26449,SKM/SS/78A07/2015/287,Sikkim,South Sikkim,,Gangla village Road,27.273861,88.398722,Debris,Slide,,240,362,398,113
26450,SKM/WS/78A07/2015/361,Sikkim,West Sikkim,,,27.2755,88.308056,Debris,Slide,,275,337,388,98
26451,SKM/NS/78A03/2017/04,Sikkim,West Sikkim,Kachapati,SH,27.27575,88.084972,Debris,Slide,,243,397,359,102
26452,SKM/WS/78A07/2015/358,Sikkim,West Sikkim,,Legship-Geyzing Road,27.275917,88.254278,Rock,Slide,,257,345,398,118
26453,SKM/SS/78A07/2015/288,Sikkim,South Sikkim,,Gangla village Road,27.276167,88.398722,Debris,Slide,,226,361,413,110
26454,SKM/SS/78A07/2015/332,Sikkim,South Sikkim,,Robang-Tarku Road,27.279889,88.436472,Debris,Slide,,278,354,368,118
26455,SKM/NS/78A15/2017/159,Sikkim,East Sikkim,Lungthang,SH,27.279972,88.804278,Debris,Slide,,233,399,369,111
26456,SKM/NS/78A03/2017/23,Sikkim,West Sikkim,Sardong,SH,27.279972,88.186917,Debris,Slide,,274,378,348,103
26457,SKM/NS/78A03/2017/26,Sikkim,West Sikkim,Lungzick,SH,27.280667,88.190861,Debris,Slide,,260,387,353,103
26458,SKM/NS/78A03/2017/05,Sikkim,West Sikkim,,SH,27.280889,88.084333,Debris,Slide,,267,368,365,99
26459,SKM/NS/78A03/2017/28,Sikkim,West Sikkim,Arigown,SH,27.281028,88.227667,Debris,Slide,,242,359,399,114
