sl_no,slide_no,state,district,slide_name,nh_sh_location,latitude,longitude,material_involved,movement_type,history,soil_clay_0_5cm,soil_sand_0_5cm,soil_silt_0_5cm,soil_bulk_density_0_5cm
26116,SKM/SS/78A08/2015/229,Sikkim,South Sikkim,,Namchi-Palum Road,27.140889,88.368222,Debris,Slide,,266,338,395,113
26117,SKM/NS/78A04/2017/101,Sikkim,West Sikkim,,SH,27.141,88.211194,Debris,Slide,,274,346,380,121
26118,SKM/NS/78A04/2017/114,Sikkim,West Sikkim,Tharpu,SH,27.141944,88.180222,Debris,Slide,,239,355,406,117
26119,SKM/NS/78A04/2017/115,Sikkim,West Sikkim,,SH,27.142028,88.172139,Debris,Slide,,244,365,391,117
26120,SKM/SS/78A08/2015/231,Sikkim,South Sikkim,,Namchi-Palum Road,27.143556,88.373083,Debris,Slide,,289,370,341,106
26121,SKM/NS/78A04/2017/139,Sikkim,West Sikkim,,SH,27.144056,88.127361,Earth,Slide,,309,371,320,104
26122,SKM/WS/78A08/2015/264,Sikkim,West Sikkim,,Namchi-Assangthang Road,27.144167,88.311083,Rock,Fall,,259,349,392,118
26123,SKM/SS/78A08/2015/230,Sikkim,South Sikkim,,Namchi-Palum Road,27.145056,88.370778,Rock,Slide,,287,354,359,107
26124,SKM/WS/78A08/2015/265,Sikkim,West Sikkim,,Namchi-Assangthang Road,27.145444,88.305694,Debris,Slide,,275,340,384,118
26125,SKM/SS/78A07/2015/326,Sikkim,South Sikkim,,Melli-Jorethang Road,27.149722,88.348333,Debris,Slide,,273,374,353,112
26126,SKM/NS/78A04/2017/121,Sikkim,West Sikkim,,SH,27.149889,88.096861,Earth,Slide,,313,362,325,99
26127,SKM/NS/78A04/2017/109,Sikkim,West Sikkim,,SH,27.149972,88.184222,Debris,Slide,,236,388,376,114
26128,SKM/SS/78A08/2015/311,Sikkim,South Sikkim,,Melli-Phong Road,27.150778,88.4385,Debris,Slide,,268,372,360,112
26129,SKM/WS/78A08/2015/266,Sikkim,West Sikkim,,Namchi-Assangthang Road,27.151028,88.309889,Debris,Slide,,269,358,373,110
26130,SKM/NS/78A04/2017/108,Sikkim,West Sikkim,Lower Timburbung,SH,27.152722,88.190833,Earth,Slide,,263,345,392,119
26131,SKM/SS/78A08/2015/232,Sikkim,South Sikkim,,Namchi-Palum Road,27.152861,88.390361,Rock,Slide,,284,345,371,105
26132,SKM/SS/78A08/2015/215,Sikkim,South Sikkim,,Sadam-Bhajyang Road,27.153083,88.412056,Debris,Slide,,281,387,332,108
26133,SKM/WS/78A08/2015/267,Sikkim,West Sikkim,,Namchi-Assangthang Road,27.153306,88.3135,Debris,Slide,,256,359,385,110
26134,SKM/NS/78A04/2017/120,Sikkim,West Sikkim,,SH,27.153444,88.095639,Debris,Slide,,285,372,342,99
26135,SKM/SS/78A08/2015/175,Sikkim,South Sikkim,,Namchi-Namthang Road,27.153528,88.494389,Debris,Slide,,240,362,398,115
