cell_id,latitude,longitude,susceptibility_score,ridx_+6h,risk_+6h,tier_+6h,ridx_+12h,risk_+12h,tier_+12h,ridx_+24h,risk_+24h,tier_+24h,ridx_+48h,risk_+48h,tier_+48h
COARSE_C00001,27.18,88.58,0.6314,0.26,0.4265,Moderate,0.3278,0.4555,Moderate,0.4183,0.494,Moderate,0.3618,0.4699,Moderate
COARSE_C00002,27.18,88.581,0.6616,0.26,0.4432,Moderate,0.3278,0.4725,Moderate,0.4183,0.5116,Moderate,0.3618,0.4872,Moderate
COARSE_C00003,27.18,88.58200000000001,0.5712,0.26,0.3933,Moderate,0.3278,0.4214,Moderate,0.4183,0.4589,Moderate,0.3618,0.4355,Moderate
COARSE_C00004,27.18,88.58300000000001,0.5743,0.26,0.395,Moderate,0.3278,0.4232,Moderate,0.4183,0.4607,Moderate,0.3618,0.4372,Moderate
COARSE_C00005,27.18,88.58400000000002,0.5108,0.26,0.36,Moderate,0.3278,0.3872,Moderate,0.4183,0.4236,Moderate,0.3618,0.4009,Moderate
COARSE_C00006,27.18,88.58500000000002,0.6098,0.26,0.4146,Moderate,0.3278,0.4432,Moderate,0.4183,0.4814,Moderate,0.3618,0.4575,Moderate
COARSE_C00007,27.18,88.58600000000003,0.599,0.26,0.4087,Moderate,0.3278,0.4371,Moderate,0.4183,0.4751,Moderate,0.3618,0.4514,Moderate
COARSE_C00008,27.18,88.58700000000003,0.5796,0.26,0.3979,Moderate,0.3278,0.4262,Moderate,0.4183,0.4638,Moderate,0.3618,0.4403,Moderate
COARSE_C00009,27.18,88.58800000000004,0.5798,0.26,0.3981,Moderate,0.3278,0.4263,Moderate,0.4183,0.4639,Moderate,0.3618,0.4404,Moderate
COARSE_C00010,27.18,88.58900000000004,0.8806,0.26,0.5641,High,0.3278,0.5964,High,0.4183,0.6395,High,0.3618,0.6125,High
COARSE_C00011,27.18,88.59000000000005,0.5439,0.26,0.3782,Moderate,0.3278,0.406,Moderate,0.4183,0.4429,Moderate,0.3618,0.4198,Moderate
COARSE_C00012,27.18,88.59100000000005,0.5398,0.26,0.376,Moderate,0.3278,0.4036,Moderate,0.4183,0.4405,Moderate,0.3618,0.4175,Moderate
COARSE_C00013,27.18,88.59200000000006,0.599,0.26,0.4087,Moderate,0.3278,0.4371,Moderate,0.4183,0.4751,Moderate,0.3618,0.4514,Moderate
COARSE_C00014,27.18,88.59300000000006,0.4565,0.26,0.33,Low,0.3278,0.3565,Moderate,0.4183,0.3919,Moderate,0.3618,0.3698,Moderate
COARSE_C00015,27.18,88.59400000000007,0.4451,0.26,0.3237,Low,0.3278,0.3501,Moderate,0.4183,0.3853,Moderate,0.3618,0.3633,Moderate
COARSE_C00016,27.18,88.59500000000007,0.9092,0.26,0.5799,High,0.3278,0.6126,High,0.4183,0.6561,High,0.3618,0.6289,High
COARSE_C00017,27.18,88.59600000000007,0.9082,0.26,0.5793,High,0.3278,0.612,High,0.4183,0.6556,High,0.3618,0.6283,High
COARSE_C00018,27.18,88.59700000000008,0.8874,0.26,0.5679,High,0.3278,0.6002,High,0.4183,0.6434,High,0.3618,0.6164,High
COARSE_C00019,27.18,88.59800000000008,0.5734,0.26,0.3945,Moderate,0.3278,0.4227,Moderate,0.4183,0.4602,Moderate,0.3618,0.4367,Moderate
COARSE_C00020,27.18,88.59900000000009,0.5583,0.26,0.3862,Moderate,0.3278,0.4141,Moderate,0.4183,0.4513,Moderate,0.3618,0.4281,Moderate
COARSE_C00021,27.18,88.6000000000001,0.6146,0.26,0.4173,Moderate,0.3278,0.446,Moderate,0.4183,0.4842,Moderate,0.3618,0.4603,Moderate
COARSE_C00022,27.18,88.6010000000001,0.5332,0.26,0.3723,Moderate,0.3278,0.3999,Moderate,0.4183,0.4367,Moderate,0.3618,0.4137,Moderate
COARSE_C00023,27.18,88.6020000000001,0.6178,0.26,0.419,Moderate,0.3278,0.4478,Moderate,0.4183,0.4861,Moderate,0.3618,0.4621,Moderate
COARSE_C00024,27.18,88.60300000000011,0.6235,0.26,0.4222,Moderate,0.3278,0.451,Moderate,0.4183,0.4894,Moderate,0.3618,0.4654,Moderate
COARSE_C00025,27.18,88.60400000000011,0.4885,0.26,0.3477,Low,0.3278,0.3746,Moderate,0.4183,0.4106,Moderate,0.3618,0.3881,Moderate
COARSE_C00026,27.18,88.60500000000012,0.6105,0.26,0.415,Moderate,0.3278,0.4436,Moderate,0.4183,0.4818,Moderate,0.3618,0.4579,Moderate
COARSE_C00027,27.18,88.60600000000012,0.6617,0.26,0.4433,Moderate,0.3278,0.4726,Moderate,0.4183,0.5117,Moderate,0.3618,0.4873,Moderate
COARSE_C00028,27.18,88.60700000000013,0.6113,0.26,0.4154,Moderate,0.3278,0.4441,Moderate,0.4183,0.4823,Moderate,0.3618,0.4584,Moderate
COARSE_C00029,27.18,88.60800000000013,0.7056,0.26,0.4675,Moderate,0.3278,0.4974,Moderate,0.4183,0.5373,Moderate,0.3618,0.5124,Moderate
COARSE_C00030,27.18,88.60900000000014,0.6607,0.26,0.4427,Moderate,0.3278,0.472,Moderate,0.4183,0.5111,Moderate,0.3618,0.4867,Moderate
COARSE_C00031,27.18,88.61000000000014,0.6666,0.26,0.446,Moderate,0.3278,0.4754,Moderate,0.4183,0.5146,Moderate,0.3618,0.4901,Moderate
COARSE_C00032,27.18,88.61100000000015,0.6412,0.26,0.4319,Moderate,0.3278,0.461,Moderate,0.4183,0.4997,Moderate,0.3618,0.4755,Moderate
COARSE_C00033,27.18,88.61200000000015,0.7107,0.26,0.4703,Moderate,0.3278,0.5003,Moderate,0.4183,0.5403,Moderate,0.3618,0.5153,Moderate
COARSE_C00034,27.18,88.61300000000016,0.7004,0.26,0.4646,Moderate,0.3278,0.4945,Moderate,0.4183,0.5343,Moderate,0.3618,0.5094,Moderate
COARSE_C00035,27.18,88.61400000000016,0.7651,0.26,0.5003,Moderate,0.3278,0.5311,Moderate,0.4183,0.572,High,0.3618,0.5464,Moderate
COARSE_C00036,27.18,88.61500000000017,0.7189,0.26,0.4748,Moderate,0.3278,0.5049,Moderate,0.4183,0.5451,Moderate,0.3618,0.52,Moderate
COARSE_C00037,27.18,88.61600000000017,0.569,0.26,0.3921,Moderate,0.3278,0.4202,Moderate,0.4183,0.4576,Moderate,0.3618,0.4342,Moderate
COARSE_C00038,27.18,88.61700000000017,0.6439,0.26,0.4334,Moderate,0.3278,0.4625,Moderate,0.4183,0.5013,Moderate,0.3618,0.4771,Moderate
COARSE_C00039,27.18,88.61800000000018,0.6892,0.26,0.4584,Moderate,0.3278,0.4881,Moderate,0.4183,0.5277,Moderate,0.3618,0.503,Moderate
COARSE_C00040,27.18,88.61900000000018,0.683,0.26,0.455,Moderate,0.3278,0.4846,Moderate,0.4183,0.5241,Moderate,0.3618,0.4994,Moderate
COARSE_C00041,27.18,88.62000000000019,0.7437,0.26,0.4885,Moderate,0.3278,0.519,Moderate,0.4183,0.5596,High,0.3618,0.5342,Moderate
COARSE_C00042,27.18,88.6210000000002,0.6484,0.26,0.4359,Moderate,0.3278,0.4651,Moderate,0.4183,0.5039,Moderate,0.3618,0.4796,Moderate
COARSE_C00043,27.18,88.6220000000002,0.643,0.26,0.4329,Moderate,0.3278,0.462,Moderate,0.4183,0.5008,Moderate,0.3618,0.4766,Moderate
COARSE_C00044,27.18,88.6230000000002,0.95,0.26,0.6024,High,0.3278,0.6356,High,0.4183,0.68,High,0.3618,0.6523,High
COARSE_C00045,27.18,88.62400000000021,0.9483,0.26,0.6015,High,0.3278,0.6347,High,0.4183,0.679,High,0.3618,0.6513,High
COARSE_C00046,27.18,88.62500000000021,0.9494,0.26,0.6021,High,0.3278,0.6353,High,0.4183,0.6796,High,0.3618,0.6519,High
COARSE_C00047,27.18,88.62600000000022,0.9711,0.26,0.6141,High,0.3278,0.6476,High,0.4183,0.6923,High,0.3618,0.6643,High
COARSE_C00048,27.18,88.62700000000022,0.7313,0.26,0.4817,Moderate,0.3278,0.512,Moderate,0.4183,0.5523,High,0.3618,0.5271,Moderate
COARSE_C00049,27.18,88.62800000000023,0.9286,0.26,0.5906,High,0.3278,0.6235,High,0.4183,0.6675,High,0.3618,0.64,High
COARSE_C00050,27.18,88.62900000000023,0.5052,0.26,0.3569,Moderate,0.3278,0.3841,Moderate,0.4183,0.4203,Moderate,0.3618,0.3977,Moderate
COARSE_C00051,27.18,88.63000000000024,0.5194,0.26,0.3647,Moderate,0.3278,0.3921,Moderate,0.4183,0.4286,Moderate,0.3618,0.4058,Moderate
COARSE_C00052,27.18,88.63100000000024,0.9061,0.26,0.5782,High,0.3278,0.6108,High,0.4183,0.6543,High,0.3618,0.6271,High
COARSE_C00053,27.18,88.63200000000025,0.5221,0.26,0.3662,Moderate,0.3278,0.3936,Moderate,0.4183,0.4302,Moderate,0.3618,0.4074,Moderate
COARSE_C00054,27.18,88.63300000000025,0.545,0.26,0.3788,Moderate,0.3278,0.4066,Moderate,0.4183,0.4436,Moderate,0.3618,0.4205,Moderate
COARSE_C00055,27.18,88.63400000000026,0.6031,0.26,0.4109,Moderate,0.3278,0.4394,Moderate,0.4183,0.4775,Moderate,0.3618,0.4537,Moderate
COARSE_C00056,27.18,88.63500000000026,0.4211,0.26,0.3105,Low,0.3278,0.3365,Low,0.4183,0.3713,Moderate,0.3618,0.3495,Low
COARSE_C00057,27.18,88.63600000000027,0.3835,0.26,0.2897,Low,0.3278,0.3152,Low,0.4183,0.3493,Low,0.3618,0.328,Low
COARSE_C00058,27.18,88.63700000000027,0.4286,0.26,0.3146,Low,0.3278,0.3408,Low,0.4183,0.3756,Moderate,0.3618,0.3538,Moderate
COARSE_C00059,27.18,88.63800000000028,0.9921,0.26,0.6256,High,0.3278,0.6595,High,0.4183,0.7045,High,0.3618,0.6764,High
COARSE_C00060,27.18,88.63900000000028,0.4687,0.26,0.3367,Low,0.3278,0.3634,Moderate,0.4183,0.399,Moderate,0.3618,0.3768,Moderate
COARSE_C00061,27.18,88.64000000000028,0.4466,0.26,0.3245,Low,0.3278,0.3509,Moderate,0.4183,0.3861,Moderate,0.3618,0.3641,Moderate
COARSE_C00062,27.18,88.64100000000029,0.4661,0.26,0.3353,Low,0.3278,0.362,Moderate,0.4183,0.3975,Moderate,0.3618,0.3753,Moderate
COARSE_C00063,27.18,88.6420000000003,0.4816,0.26,0.3438,Low,0.3278,0.3707,Moderate,0.4183,0.4066,Moderate,0.3618,0.3842,Moderate
COARSE_C00064,27.18,88.6430000000003,0.4033,0.26,0.3006,Low,0.3278,0.3264,Low,0.4183,0.3609,Moderate,0.3618,0.3394,Low
COARSE_C00065,27.18,88.6440000000003,0.4933,0.26,0.3503,Moderate,0.3278,0.3773,Moderate,0.4183,0.4134,Moderate,0.3618,0.3909,Moderate
COARSE_C00066,27.18,88.64500000000031,0.4139,0.26,0.3065,Low,0.3278,0.3324,Low,0.4183,0.3671,Moderate,0.3618,0.3454,Low
COARSE_C00067,27.18,88.64600000000031,0.453,0.26,0.3281,Low,0.3278,0.3546,Moderate,0.4183,0.3899,Moderate,0.3618,0.3678,Moderate
COARSE_C00068,27.18,88.64700000000032,0.5085,0.26,0.3587,Moderate,0.3278,0.3859,Moderate,0.4183,0.4223,Moderate,0.3618,0.3996,Moderate
COARSE_C00069,27.18,88.64800000000032,0.5135,0.26,0.3615,Moderate,0.3278,0.3888,Moderate,0.4183,0.4252,Moderate,0.3618,0.4024,Moderate
COARSE_C00070,27.18,88.64900000000033,0.4738,0.26,0.3395,Low,0.3278,0.3663,Moderate,0.4183,0.402,Moderate,0.3618,0.3797,Moderate
COARSE_C00071,27.18,88.65000000000033,0.4059,0.26,0.3021,Low,0.3278,0.3279,Low,0.4183,0.3624,Moderate,0.3618,0.3408,Low
COARSE_C00072,27.18,88.65100000000034,0.3959,0.0721,0.2253,Low,0.0909,0.2324,Low,0.116,0.2419,Low,0.1003,0.236,Low
COARSE_C00073,27.18,88.65200000000034,0.5479,0.0721,0.3035,Low,0.0909,0.3112,Low,0.116,0.3215,Low,0.1003,0.315,Low
COARSE_C00074,27.18,88.65300000000035,0.4985,0.0721,0.2781,Low,0.0909,0.2856,Low,0.116,0.2956,Low,0.1003,0.2893,Low
COARSE_C00075,27.18,88.65400000000035,0.8573,0.0721,0.4626,Moderate,0.0909,0.4715,Moderate,0.116,0.4833,Moderate,0.1003,0.4759,Moderate
COARSE_C00076,27.18,88.65500000000036,0.5487,0.0721,0.3039,Low,0.0909,0.3116,Low,0.116,0.3219,Low,0.1003,0.3155,Low
COARSE_C00077,27.18,88.65600000000036,0.6328,0.0721,0.3472,Low,0.0909,0.3552,Moderate,0.116,0.3659,Moderate,0.1003,0.3592,Moderate
COARSE_C00078,27.18,88.65700000000037,0.6663,0.0721,0.3644,Moderate,0.0909,0.3725,Moderate,0.116,0.3834,Moderate,0.1003,0.3766,Moderate
COARSE_C00079,27.18,88.65800000000037,0.6186,0.0721,0.3399,Low,0.0909,0.3478,Low,0.116,0.3584,Moderate,0.1003,0.3518,Moderate
COARSE_C00080,27.18,88.65900000000038,0.9262,0.0721,0.4981,Moderate,0.0909,0.5072,Moderate,0.116,0.5194,Moderate,0.1003,0.5118,Moderate
COARSE_C00081,27.18,88.66000000000038,0.5369,0.0721,0.2978,Low,0.0909,0.3055,Low,0.116,0.3157,Low,0.1003,0.3093,Low
COARSE_C00082,27.18,88.66100000000039,0.8913,0.0721,0.4801,Moderate,0.0909,0.4891,Moderate,0.116,0.5011,Moderate,0.1003,0.4936,Moderate
COARSE_C00083,27.18,88.66200000000039,0.5563,0.0721,0.3078,Low,0.0909,0.3155,Low,0.116,0.3259,Low,0.1003,0.3194,Low
COARSE_C00084,27.18,88.6630000000004,0.5075,0.0721,0.2827,Low,0.0909,0.2903,Low,0.116,0.3003,Low,0.1003,0.294,Low
COARSE_C00085,27.18,88.6640000000004,0.489,0.0721,0.2732,Low,0.0909,0.2807,Low,0.116,0.2906,Low,0.1003,0.2844,Low
COARSE_C00086,27.18,88.6650000000004,0.4677,0.0721,0.2622,Low,0.0909,0.2696,Low,0.116,0.2795,Low,0.1003,0.2733,Low
COARSE_C00087,27.18,88.66600000000041,0.5492,0.0721,0.3042,Low,0.0909,0.3119,Low,0.116,0.3221,Low,0.1003,0.3157,Low
COARSE_C00088,27.18,88.66700000000041,0.5531,0.0721,0.3062,Low,0.0909,0.3139,Low,0.116,0.3242,Low,0.1003,0.3177,Low
COARSE_C00089,27.18,88.66800000000042,0.4659,0.0721,0.2613,Low,0.0909,0.2687,Low,0.116,0.2786,Low,0.1003,0.2724,Low
COARSE_C00090,27.18,88.66900000000042,0.8611,0.0721,0.4646,Moderate,0.0909,0.4735,Moderate,0.116,0.4853,Moderate,0.1003,0.4779,Moderate
COARSE_C00091,27.18,88.67000000000043,0.4999,0.0721,0.2788,Low,0.0909,0.2863,Low,0.116,0.2963,Low,0.1003,0.2901,Low
COARSE_C00092,27.18,88.67100000000043,0.6072,0.0721,0.334,Low,0.0909,0.3419,Low,0.116,0.3525,Moderate,0.1003,0.3459,Low
COARSE_C00093,27.18,88.67200000000044,0.5217,0.0721,0.29,Low,0.0909,0.2976,Low,0.116,0.3078,Low,0.1003,0.3014,Low
COARSE_C00094,27.18,88.67300000000044,0.9219,0.0721,0.4959,Moderate,0.0909,0.505,Moderate,0.116,0.5171,Moderate,0.1003,0.5095,Moderate
COARSE_C00095,27.18,88.67400000000045,0.5081,0.0721,0.283,Low,0.0909,0.2906,Low,0.116,0.3006,Low,0.1003,0.2943,Low
COARSE_C00096,27.18,88.67500000000045,0.431,0.0721,0.2433,Low,0.0909,0.2506,Low,0.116,0.2603,Low,0.1003,0.2542,Low
COARSE_C00097,27.18,88.67600000000046,0.8889,0.0721,0.4789,Moderate,0.0909,0.4879,Moderate,0.116,0.4999,Moderate,0.1003,0.4924,Moderate
COARSE_C00098,27.18,88.67700000000046,0.4611,0.0721,0.2588,Low,0.0909,0.2662,Low,0.116,0.276,Low,0.1003,0.2699,Low
COARSE_C00099,27.18,88.67800000000047,0.4415,0.0721,0.2487,Low,0.0909,0.2561,Low,0.116,0.2658,Low,0.1003,0.2597,Low
COARSE_C00100,27.18,88.67900000000047,0.4338,0.0721,0.2448,Low,0.0909,0.2521,Low,0.116,0.2618,Low,0.1003,0.2557,Low
COARSE_C00101,27.18,88.68000000000048,0.431,0.0721,0.2433,Low,0.0909,0.2506,Low,0.116,0.2603,Low,0.1003,0.2542,Low
COARSE_C00102,27.18,88.68100000000048,0.3742,0.0721,0.2141,Low,0.0909,0.2212,Low,0.116,0.2306,Low,0.1003,0.2247,Low
COARSE_C00103,27.18,88.68200000000049,0.4532,0.0721,0.2548,Low,0.0909,0.2621,Low,0.116,0.2719,Low,0.1003,0.2658,Low
COARSE_C00104,27.18,88.68300000000049,0.3659,0.0721,0.2099,Low,0.0909,0.2169,Low,0.116,0.2262,Low,0.1003,0.2204,Low
COARSE_C00105,27.18,88.6840000000005,0.4107,0.0721,0.2329,Low,0.0909,0.2401,Low,0.116,0.2497,Low,0.1003,0.2437,Low
COARSE_C00106,27.18,88.6850000000005,0.3649,0.0721,0.2093,Low,0.0909,0.2164,Low,0.116,0.2257,Low,0.1003,0.2199,Low
COARSE_C00107,27.18,88.6860000000005,0.4497,0.0721,0.253,Low,0.0909,0.2603,Low,0.116,0.2701,Low,0.1003,0.264,Low
COARSE_C00108,27.18,88.68700000000051,0.3376,0.0721,0.1953,Low,0.0909,0.2022,Low,0.116,0.2114,Low,0.1003,0.2057,Low
COARSE_C00109,27.18,88.68800000000051,0.4652,0.0721,0.2609,Low,0.0909,0.2683,Low,0.116,0.2782,Low,0.1003,0.272,Low
COARSE_C00110,27.18,88.68900000000052,0.4829,0.0721,0.27,Low,0.0909,0.2775,Low,0.116,0.2875,Low,0.1003,0.2812,Low
COARSE_C00111,27.18,88.69000000000052,0.6197,0.0721,0.3404,Low,0.0909,0.3484,Low,0.116,0.359,Moderate,0.1003,0.3524,Moderate
COARSE_C00112,27.18,88.69100000000053,0.5569,0.0721,0.3081,Low,0.0909,0.3159,Low,0.116,0.3262,Low,0.1003,0.3197,Low
COARSE_C00113,27.18,88.69200000000053,0.4914,0.0721,0.2744,Low,0.0909,0.2819,Low,0.116,0.2919,Low,0.1003,0.2857,Low
COARSE_C00114,27.18,88.69300000000054,0.5302,0.0721,0.2944,Low,0.0909,0.302,Low,0.116,0.3122,Low,0.1003,0.3058,Low
COARSE_C00115,27.18,88.69400000000054,0.5448,0.0721,0.3019,Low,0.0909,0.3096,Low,0.116,0.3198,Low,0.1003,0.3134,Low
COARSE_C00116,27.18,88.69500000000055,0.4719,0.0721,0.2644,Low,0.0909,0.2718,Low,0.116,0.2817,Low,0.1003,0.2755,Low
COARSE_C00117,27.18,88.69600000000055,0.5585,0.0721,0.3089,Low,0.0909,0.3167,Low,0.116,0.327,Low,0.1003,0.3206,Low
COARSE_C00118,27.18,88.69700000000056,0.5996,0.0721,0.3301,Low,0.0909,0.338,Low,0.116,0.3485,Low,0.1003,0.3419,Low
COARSE_C00119,27.18,88.69800000000056,0.6508,0.0721,0.3564,Moderate,0.0909,0.3645,Moderate,0.116,0.3753,Moderate,0.1003,0.3686,Moderate
COARSE_C00120,27.18,88.69900000000057,0.5857,0.0721,0.3229,Low,0.0909,0.3308,Low,0.116,0.3412,Low,0.1003,0.3347,Low
COARSE_C00121,27.18,88.70000000000057,0.4897,0.0721,0.2735,Low,0.0909,0.281,Low,0.116,0.291,Low,0.1003,0.2848,Low
COARSE_C00122,27.18,88.70100000000058,0.4398,0.07,0.2471,Low,0.0883,0.2542,Low,0.1127,0.2636,Low,0.0974,0.2577,Low
COARSE_C00123,27.18,88.70200000000058,0.3329,0.07,0.1921,Low,0.0883,0.1988,Low,0.1127,0.2078,Low,0.0974,0.2022,Low
COARSE_C00124,27.18,88.70300000000059,0.3357,0.07,0.1936,Low,0.0883,0.2003,Low,0.1127,0.2092,Low,0.0974,0.2036,Low
COARSE_C00125,27.18,88.70400000000059,0.3334,0.07,0.1924,Low,0.0883,0.1991,Low,0.1127,0.208,Low,0.0974,0.2024,Low
COARSE_C00126,27.18,88.7050000000006,0.3834,0.07,0.2181,Low,0.0883,0.225,Low,0.1127,0.2341,Low,0.0974,0.2284,Low
COARSE_C00127,27.18,88.7060000000006,0.2608,0.07,0.1551,Low,0.0883,0.1615,Low,0.1127,0.1701,Low,0.0974,0.1647,Low
COARSE_C00128,27.18,88.7070000000006,0.3846,0.07,0.2187,Low,0.0883,0.2256,Low,0.1127,0.2348,Low,0.0974,0.229,Low
COARSE_C00129,27.18,88.70800000000061,0.443,0.07,0.2487,Low,0.0883,0.2558,Low,0.1127,0.2653,Low,0.0974,0.2594,Low
COARSE_C00130,27.18,88.70900000000061,0.4133,0.07,0.2334,Low,0.0883,0.2404,Low,0.1127,0.2498,Low,0.0974,0.2439,Low
COARSE_C00131,27.18,88.71000000000062,0.3427,0.07,0.1972,Low,0.0883,0.2039,Low,0.1127,0.2129,Low,0.0974,0.2073,Low
COARSE_C00132,27.18,88.71100000000062,0.5829,0.07,0.3206,Low,0.0883,0.3282,Low,0.1127,0.3384,Low,0.0974,0.332,Low
COARSE_C00133,27.18,88.71200000000063,0.4746,0.07,0.265,Low,0.0883,0.2722,Low,0.1127,0.2818,Low,0.0974,0.2758,Low
COARSE_C00134,27.18,88.71300000000063,0.435,0.07,0.2446,Low,0.0883,0.2517,Low,0.1127,0.2611,Low,0.0974,0.2552,Low
COARSE_C00135,27.18,88.71400000000064,0.3784,0.07,0.2155,Low,0.0883,0.2224,Low,0.1127,0.2315,Low,0.0974,0.2258,Low
COARSE_C00136,27.18,88.71500000000064,0.423,0.07,0.2384,Low,0.0883,0.2455,Low,0.1127,0.2548,Low,0.0974,0.249,Low
COARSE_C00137,27.18,88.71600000000065,0.4761,0.07,0.2657,Low,0.0883,0.2729,Low,0.1127,0.2826,Low,0.0974,0.2766,Low
COARSE_C00138,27.18,88.71700000000065,0.4025,0.07,0.2279,Low,0.0883,0.2349,Low,0.1127,0.2441,Low,0.0974,0.2383,Low
COARSE_C00139,27.18,88.71800000000066,0.6545,0.07,0.3574,Moderate,0.0883,0.3653,Moderate,0.1127,0.3758,Moderate,0.0974,0.3692,Moderate
COARSE_C00140,27.18,88.71900000000066,0.6228,0.07,0.3411,Low,0.0883,0.3489,Low,0.1127,0.3592,Moderate,0.0974,0.3528,Moderate
COARSE_C00141,27.18,88.72000000000067,0.5313,0.07,0.2941,Low,0.0883,0.3015,Low,0.1127,0.3114,Low,0.0974,0.3052,Low
COARSE_C00142,27.18,88.72100000000067,0.4709,0.07,0.2631,Low,0.0883,0.2703,Low,0.1127,0.2799,Low,0.0974,0.2739,Low
COARSE_C00143,27.18,88.72200000000068,0.401,0.07,0.2271,Low,0.0883,0.2341,Low,0.1127,0.2433,Low,0.0974,0.2375,Low
COARSE_C00144,27.18,88.72300000000068,0.4059,0.07,0.2296,Low,0.0883,0.2366,Low,0.1127,0.2459,Low,0.0974,0.2401,Low
COARSE_C00145,27.18,88.72400000000069,0.4783,0.07,0.2669,Low,0.0883,0.2741,Low,0.1127,0.2837,Low,0.0974,0.2777,Low
COARSE_C00146,27.18,88.72500000000069,0.6107,0.07,0.3349,Low,0.0883,0.3426,Low,0.1127,0.3529,Moderate,0.0974,0.3465,Low
COARSE_C00147,27.18,88.7260000000007,0.6666,0.07,0.3636,Moderate,0.0883,0.3716,Moderate,0.1127,0.3821,Moderate,0.0974,0.3755,Moderate
COARSE_C00148,27.18,88.7270000000007,0.7741,0.07,0.4189,Moderate,0.0883,0.4272,Moderate,0.1127,0.4383,Moderate,0.0974,0.4314,Moderate
COARSE_C00149,27.18,88.7280000000007,0.6077,0.07,0.3334,Low,0.0883,0.3411,Low,0.1127,0.3513,Moderate,0.0974,0.3449,Low
COARSE_C00150,27.18,88.72900000000071,0.4559,0.07,0.2553,Low,0.0883,0.2625,Low,0.1127,0.272,Low,0.0974,0.2661,Low
COARSE_C00151,27.18,88.73000000000071,0.6257,0.07,0.3426,Low,0.0883,0.3504,Moderate,0.1127,0.3607,Moderate,0.0974,0.3543,Moderate
COARSE_C00152,27.18,88.73100000000072,0.7195,0.07,0.3908,Moderate,0.0883,0.3989,Moderate,0.1127,0.4098,Moderate,0.0974,0.403,Moderate
COARSE_C00153,27.18,88.73200000000072,0.7867,0.07,0.4254,Moderate,0.0883,0.4337,Moderate,0.1127,0.4449,Moderate,0.0974,0.4379,Moderate
COARSE_C00154,27.18,88.73300000000073,0.6801,0.07,0.3706,Moderate,0.0883,0.3786,Moderate,0.1127,0.3892,Moderate,0.0974,0.3825,Moderate
COARSE_C00155,27.18,88.73400000000073,0.5831,0.07,0.3207,Low,0.0883,0.3283,Low,0.1127,0.3385,Low,0.0974,0.3321,Low
COARSE_C00156,27.18,88.73500000000074,0.556,0.07,0.3068,Low,0.0883,0.3143,Low,0.1127,0.3243,Low,0.0974,0.3181,Low
COARSE_C00157,27.18,88.73600000000074,0.5512,0.07,0.3043,Low,0.0883,0.3118,Low,0.1127,0.3218,Low,0.0974,0.3156,Low
COARSE_C00158,27.18,88.73700000000075,0.6659,0.07,0.3633,Moderate,0.0883,0.3712,Moderate,0.1127,0.3818,Moderate,0.0974,0.3752,Moderate
COARSE_C00159,27.18,88.73800000000075,0.6255,0.07,0.3425,Low,0.0883,0.3503,Moderate,0.1127,0.3606,Moderate,0.0974,0.3542,Moderate
COARSE_C00160,27.18,88.73900000000076,0.4894,0.07,0.2726,Low,0.0883,0.2798,Low,0.1127,0.2895,Low,0.0974,0.2835,Low
COARSE_C00161,27.18,88.74000000000076,0.6787,0.07,0.3699,Moderate,0.0883,0.3778,Moderate,0.1127,0.3884,Moderate,0.0974,0.3818,Moderate
COARSE_C00162,27.18,88.74100000000077,0.5196,0.07,0.2881,Low,0.0883,0.2955,Low,0.1127,0.3053,Low,0.0974,0.2992,Low
COARSE_C00163,27.18,88.74200000000077,0.6203,0.07,0.3398,Low,0.0883,0.3476,Low,0.1127,0.3579,Moderate,0.0974,0.3515,Moderate
COARSE_C00164,27.18,88.74300000000078,0.5567,0.07,0.3072,Low,0.0883,0.3147,Low,0.1127,0.3247,Low,0.0974,0.3184,Low
COARSE_C00165,27.18,88.74400000000078,0.5091,0.07,0.2827,Low,0.0883,0.29,Low,0.1127,0.2998,Low,0.0974,0.2937,Low
COARSE_C00166,27.18,88.74500000000079,0.6992,0.07,0.3804,Moderate,0.0883,0.3884,Moderate,0.1127,0.3992,Moderate,0.0974,0.3925,Moderate
COARSE_C00167,27.18,88.74600000000079,0.7198,0.07,0.391,Moderate,0.0883,0.3991,Moderate,0.1127,0.4099,Moderate,0.0974,0.4032,Moderate
COARSE_C00168,27.18,88.7470000000008,0.6467,0.07,0.3534,Moderate,0.0883,0.3613,Moderate,0.1127,0.3717,Moderate,0.0974,0.3652,Moderate
COARSE_C00169,27.18,88.7480000000008,0.4964,0.07,0.2762,Low,0.0883,0.2835,Low,0.1127,0.2932,Low,0.0974,0.2871,Low
COARSE_C00170,27.18,88.7490000000008,0.5659,0.07,0.3119,Low,0.0883,0.3194,Low,0.1127,0.3295,Low,0.0974,0.3232,Low
COARSE_C00171,27.18,88.75000000000081,0.5585,0.07,0.3081,Low,0.0883,0.3156,Low,0.1127,0.3256,Low,0.0974,0.3194,Low
COARSE_C00172,27.18,88.75100000000081,0.3982,0.0677,0.2248,Low,0.0854,0.2315,Low,0.109,0.2405,Low,0.0942,0.2349,Low
COARSE_C00173,27.18,88.75200000000082,0.4099,0.0677,0.2308,Low,0.0854,0.2376,Low,0.109,0.2466,Low,0.0942,0.2409,Low
COARSE_C00174,27.18,88.75300000000082,0.313,0.0677,0.1811,Low,0.0854,0.1875,Low,0.109,0.196,Low,0.0942,0.1907,Low
